"id","checksum","price","location","title","beds","baths","area","property_type","furnishing","amenities","link","reactivated_date","source","scraped_at","transformed_at"
1,"0ca4015666a95e795e8665197eb7dc6b",7000000,"Hyde Park New Cairo Compound, 5th Settlement, New Cairo, Cairo","Only with 10% downpayment up to 10 years installments own your fully finished apartment in prime location at 5th settlement new cairo","3",2,160,"Apartment","Unfurnished","Built in Kitchen Appliances, Electricity Meter, Water Meter, Natural Gas, Landline, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Shared Kitchen, Laundry Room, Laundry Facility","https://www.bayut.eg/en/property/details-503467463.html","2026-05-05 00:00:00","bayut","2026-05-07 10:19:39.287","2026-05-09 18:52:06.369049"
2,"49ab667fd90686354e155d719a9fb20c",8500000,"Taj City Compound, 1st Settlement, New Cairo, Cairo","A 3 bedroom corner apartment on the Suez Road in 12 year installments opposite The Spine Towers in Madinaty and close to Privado Al Rehab First Settle","3",3,150,"Apartment","Unfurnished","","https://www.bayut.eg/en/property/details-503466319.html","2026-05-04 00:00:00","bayut","2026-05-07 10:19:40.164","2026-05-09 18:52:08.077426"
3,"21e48996585f37063c06400ea7620d76",8500000,"Hyde Park New Cairo Compound, 5th Settlement, New Cairo, Cairo","Fully finished ready to move apartment for sale in Hyde park compound 5th settlement new cairo","3",2,148,"Apartment","Unfurnished","Built in Kitchen Appliances, Covered parking, Pets Allowed, Electricity Meter, Water Meter, Natural Gas, Landline, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Shared Kitchen, Laundry Room, Laundry Facility","https://www.bayut.eg/en/property/details-503462210.html","2026-05-04 00:00:00","bayut","2026-05-07 10:19:40.403","2026-05-09 18:52:10.175045"
4,"e1fe65022fe45b47c61342fc69ee189c",23750000,"New Cairo, Cairo","Own your villa with just 5% down and pay over 10 years in the most luxurious compound in the heart of Tagamoa, next to the American University.","4",4,217,"Villa","Unfurnished","Covered parking, Pets Allowed, Electricity Meter, Water Meter, Natural Gas, Landline, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen","https://www.bayut.eg/en/property/details-503458216.html","2026-05-04 00:00:00","bayut","2026-05-07 10:19:40.723","2026-05-09 18:52:12.334834"
5,"4cecaae1774dee4ff0a4ee681dd75518",25000000,"Palm Hills New Cairo Compound, 5th Settlement, New Cairo, Cairo","RTM VILA FINISHED OVER 8 YEARS | LOWEST DP ! fifth settlement 5th settlement new Cairo golden square phnc for sale RTM lowest price tagmo3","3",4,240,"Villa","Unfurnished","Built in Kitchen Appliances, Furnished, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Sea view, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Study Room, Central A/C & heating, Balcony or Terrace, Lobby in Building, Service Elevators, Prayer Room, Reception/Waiting Room, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom, ATM Facility, 24 Hours Concierge, Maids Room, Freehold","https://www.bayut.eg/en/property/details-503460598.html","2026-05-04 00:00:00","bayut","2026-05-07 10:19:40.961","2026-05-09 18:52:13.915658"
6,"89b6bb30e4c1c1ff487fe59747aedec5",22500000,"Madinaty, Cairo","Villa for sale in madinaty, Quadro near food court and south park, 300sq","3",3,231,"Villa","Unfurnished","Covered parking, Pets Allowed, Parking Spaces: 3, Electricity Meter, Sea view, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Study Room, Balcony or Terrace, Lobby in Building, Reception/Waiting Room, Flooring, Total Floors: 3, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Broadband Internet, Satellite/Cable TV, Intercom, 24 Hours Concierge","https://www.bayut.eg/en/property/details-503458882.html","2026-05-03 00:00:00","bayut","2026-05-07 10:19:41.225","2026-05-09 18:52:15.435434"
7,"c3fc889bf3cd100144deec74c02bd8fe",28670000,"Hyde Park Central, New Cairo, Cairo","Villa for sale in Hyde Park, in the heart of New Cairo, near the American University and 90th Street, with installments over 10 years.","5",5,212,"Townhouse","Unfurnished","Built in Kitchen Appliances, Furnished, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Central Heating, Water Meter, Double Glazed Windows, Storage Areas, Natural Gas, Landline, Study Room, Central A/C & heating, Balcony or Terrace, Lobby in Building, Service Elevators, Prayer Room, Reception/Waiting Room, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom, ATM Facility, 24 Hours Concierge, Maids Room, Freehold","https://www.bayut.eg/en/property/details-503457576.html","2026-05-03 00:00:00","bayut","2026-05-07 10:19:41.457","2026-05-09 18:52:16.997043"
8,"88d6617d1b43dfa0b3dd3949d2b559c9",40000000,"Zed East Compound, 6th Settlement, New Cairo, Cairo","LOWEST PRICE OWN FINISHED VILLA IN ZED EAST ON 10Y","4",5,300,"Villa","Unfurnished","Built in Kitchen Appliances, Furnished, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Centrally Air-Conditioned, Sea view, Central Heating, Water Meter, Double Glazed Windows, Natural Gas, Landline, Study Room, Central A/C & heating, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Cleaning Services, Business Center, Conference Room, Security Staff, CCTV Security, Shared Kitchen, Laundry Room, Laundry Facility, Broadband Internet, Satellite/Cable TV, Intercom","https://www.bayut.eg/en/property/details-503136110.html","2026-05-03 00:00:00","bayut","2026-05-07 10:19:41.695","2026-05-09 18:52:20.602361"
9,"d30dc3983547f83077dc4421606c49f7",12000000,"Madinaty, Cairo","""Apartment of 245 sqm for sale in Madinaty, B3 area, next to the Food Court, overlooking a garden and villas. Mid-floor, with a north-eastern orientat","4",4,245,"Apartment","Unfurnished","Maids Room, Pets Allowed, Natural Gas, Maintenance Staff, CCTV Security","https://www.bayut.eg/en/property/details-502007022.html","2026-05-03 00:00:00","bayut","2026-05-07 10:19:41.928","2026-05-09 18:52:21.928639"
10,"6404c052357f45dba1713bbf80649b6f",4852000,"Beit Al Watan, 5th Settlement, New Cairo, Cairo","Apartment for sale in the most prestigious area of Beit Al Watan, District 5.209 sq m ground floor with garden. Competitive price per meter. Immedi","4",3,209,"Apartment","Unfurnished","Covered parking, Pets Allowed, Electricity Meter, Water Meter, Balcony or Terrace, Elevators in Building: 1, Service Elevators, Completion Year: 1, Total Floors: 4, Lawn or Garden, Security Staff, CCTV Security, View, Freehold","https://www.bayut.eg/en/property/details-503087069.html","2026-05-03 00:00:00","bayut","2026-05-07 10:19:42.155","2026-05-09 18:52:23.126731"
11,"c217a33f33560c4d86001146c6d9eda0",16000000,"Cairova, 6th Settlement, New Cairo, Cairo","In Sixth Settlement, own the lowest-priced townhouse in the entire market!","3",3,222,"Townhouse","Unfurnished","Built in Kitchen Appliances, Covered parking, Electricity Backup, Pets Allowed, Electricity Meter, Water Meter, Storage Areas, Natural Gas, Landline, Balcony or Terrace, Lobby in Building, Service Elevators, First Aid Medical Center, Day Care Center, Lawn or Garden, Barbeque Area, Cafeteria or Canteen, Waste Disposal, Maintenance Staff, Cleaning Services, Security Staff, Satellite/Cable TV, Intercom, Maids Room","https://www.bayut.eg/en/property/details-503064751.html","2026-05-02 00:00:00","bayut","2026-05-07 10:19:42.386","2026-05-09 18:52:24.725356"
12,"8aa97e63ac7ff0b2bb3add00e59715e7",15000000,"Blue Vert, R7, New Capital City, Cairo","Twin house of your dreams brought to life in a fully inhabited compound, located in one of the most prime areas of the New Administrative Capital.","4",4,277,"Twin House","Unfurnished","","https://www.bayut.eg/en/property/details-503453257.html","2026-05-02 00:00:00","bayut","2026-05-07 10:19:42.619","2026-05-09 18:52:26.197143"
13,"2a3be7a7e46b679eb95530e56c368f45",10000000,"R8, New Capital City, Cairo","Villa for sale with a 5% down payment in R8, next to an international university and a 5-star hotel in the New Administrative Capital.","4",4,225,"Townhouse","Unfurnished","Covered parking, Pets Allowed, Electricity Meter, Water Meter, Natural Gas, Landline, First Aid Medical Center, Gym or Health Club, Facilities for Disabled, Swimming Pool, Jacuzzi, Sauna, Steam Room, Day Care Center, Kids Play Area, Lawn or Garden, Barbeque Area, Cafeteria or Canteen","https://www.bayut.eg/en/property/details-503453225.html","2026-05-02 00:00:00","bayut","2026-05-07 10:19:42.856","2026-05-09 18:52:29.000914"
14,"4f4784bc0bebdc4dcaf1e79277b4b03a",8100000,"Sarai, Mostakbal City, Cairo","A prime apartment for sale in Sarai Ali Center Park with installments opposite The Spine Towers in Madinaty near AUC Fifth Settlement and Eleven dija","3",3,150,"Apartment","Unfurnished","","https://www.bayut.eg/en/property/details-503452979.html","2026-05-02 00:00:00","bayut","2026-05-07 10:19:43.1","2026-05-09 18:52:30.948886"
